User ID,Aggregated Click Behavior,Engagement Score
U80234,2,0.1111111111111111
U60458,2,0.1111111111111111
U44190,1,0.05555555555555555
U87380,2,0.1111111111111111
U9444,1,0.05555555555555555
U69606,2,0.1111111111111111
U70421,2,0.1111111111111111
U38418,2,0.1111111111111111
U9568,1,0.05555555555555555
U77860,1,0.05555555555555555
U24918,2,0.1111111111111111
U50227,3,0.16666666666666666
U46210,2,0.1111111111111111
U47134,1,0.05555555555555555
U27387,1,0.05555555555555555
U18529,1,0.05555555555555555
U15905,1,0.05555555555555555
U67590,1,0.05555555555555555
U8181,1,0.05555555555555555
U35337,2,0.1111111111111111
U1987,1,0.05555555555555555
U36076,1,0.05555555555555555
U39839,2,0.1111111111111111
U44035,2,0.1111111111111111
U48086,2,0.1111111111111111
U44340,1,0.05555555555555555
U18041,1,0.05555555555555555
U12288,2,0.1111111111111111
U83282,2,0.1111111111111111
U23227,2,0.1111111111111111
U23619,7,0.3888888888888889
U2215,2,0.1111111111111111
U9906,1,0.05555555555555555
U40099,1,0.05555555555555555
U32477,1,0.05555555555555555
U20074,2,0.1111111111111111
U64980,4,0.2222222222222222
U78728,6,0.3333333333333333
U70080,2,0.1111111111111111
U24766,1,0.05555555555555555
U38395,1,0.05555555555555555
U65292,3,0.16666666666666666
U65211,4,0.2222222222222222
U87244,3,0.16666666666666666
U48561,3,0.16666666666666666
U44998,4,0.2222222222222222
U47562,1,0.05555555555555555
U63786,1,0.05555555555555555
U37726,3,0.16666666666666666
U90837,1,0.05555555555555555
U91644,1,0.05555555555555555
U90247,2,0.1111111111111111
U66717,5,0.2777777777777778
U10606,1,0.05555555555555555
U52467,2,0.1111111111111111
U48429,2,0.1111111111111111
U63542,1,0.05555555555555555
U64634,4,0.2222222222222222
U40634,4,0.2222222222222222
U18498,5,0.2777777777777778
U27680,4,0.2222222222222222
U63146,1,0.05555555555555555
U55173,1,0.05555555555555555
U80651,1,0.05555555555555555
U71765,2,0.1111111111111111
U88867,2,0.1111111111111111
U14257,1,0.05555555555555555
U91361,2,0.1111111111111111
U80349,1,0.05555555555555555
U61801,1,0.05555555555555555
U73200,2,0.1111111111111111
U47747,2,0.1111111111111111
U13878,1,0.05555555555555555
U15270,1,0.05555555555555555
U47922,1,0.05555555555555555
U12784,3,0.16666666666666666
U69336,1,0.05555555555555555
U40781,2,0.1111111111111111
U45496,3,0.16666666666666666
U55787,1,0.05555555555555555
U65757,1,0.05555555555555555
U54826,5,0.2777777777777778
U13088,1,0.05555555555555555
U21903,1,0.05555555555555555
U50612,9,0.5
U64841,1,0.05555555555555555
U72845,2,0.1111111111111111
U82179,2,0.1111111111111111
U68460,4,0.2222222222222222
U64667,3,0.16666666666666666
U71008,3,0.16666666666666666
U85068,2,0.1111111111111111
U75160,1,0.05555555555555555
U5891,3,0.16666666666666666
U23420,1,0.05555555555555555
U14796,1,0.05555555555555555
U41656,1,0.05555555555555555
U63911,1,0.05555555555555555
U24729,1,0.05555555555555555
U70785,1,0.05555555555555555
U43682,1,0.05555555555555555
U10485,2,0.1111111111111111
U88324,2,0.1111111111111111
U74467,1,0.05555555555555555
U66234,4,0.2222222222222222
U81041,1,0.05555555555555555
U37316,5,0.2777777777777778
U38978,1,0.05555555555555555
U79917,1,0.05555555555555555
U83242,3,0.16666666666666666
U22589,1,0.05555555555555555
U55254,2,0.1111111111111111
U91457,1,0.05555555555555555
U11123,3,0.16666666666666666
U45889,1,0.05555555555555555
U3506,1,0.05555555555555555
U63924,4,0.2222222222222222
U29075,2,0.1111111111111111
U53810,1,0.05555555555555555
U48152,1,0.05555555555555555
U11982,3,0.16666666666666666
U79509,1,0.05555555555555555
U76147,4,0.2222222222222222
U87753,1,0.05555555555555555
U63001,1,0.05555555555555555
U62451,1,0.05555555555555555
U71874,2,0.1111111111111111
U78907,1,0.05555555555555555
U40625,1,0.05555555555555555
U11400,5,0.2777777777777778
U43881,1,0.05555555555555555
U52937,5,0.2777777777777778
U51387,2,0.1111111111111111
U12176,1,0.05555555555555555
U92354,1,0.05555555555555555
U35863,1,0.05555555555555555
U405,1,0.05555555555555555
U86056,1,0.05555555555555555
U75103,1,0.05555555555555555
U89129,1,0.05555555555555555
U24511,3,0.16666666666666666
U41744,1,0.05555555555555555
U76178,1,0.05555555555555555
U29845,2,0.1111111111111111
U79792,1,0.05555555555555555
U85418,1,0.05555555555555555
U49965,5,0.2777777777777778
U47185,1,0.05555555555555555
U43213,2,0.1111111111111111
U40875,1,0.05555555555555555
U66309,4,0.2222222222222222
U62193,1,0.05555555555555555
U55853,1,0.05555555555555555
U78131,2,0.1111111111111111
U21578,2,0.1111111111111111
U61333,10,0.5555555555555556
U37677,1,0.05555555555555555
U7067,1,0.05555555555555555
U36735,1,0.05555555555555555
U8442,3,0.16666666666666666
U61277,1,0.05555555555555555
U88712,1,0.05555555555555555
U68757,1,0.05555555555555555
U91834,1,0.05555555555555555
U44322,2,0.1111111111111111
U23334,2,0.1111111111111111
U61214,1,0.05555555555555555
U5731,1,0.05555555555555555
U58109,1,0.05555555555555555
U68568,1,0.05555555555555555
U80346,1,0.05555555555555555
U34484,3,0.16666666666666666
U90678,1,0.05555555555555555
U42035,1,0.05555555555555555
U10404,4,0.2222222222222222
U41252,3,0.16666666666666666
U31738,2,0.1111111111111111
U86490,1,0.05555555555555555
U85283,1,0.05555555555555555
U964,5,0.2777777777777778
U57124,3,0.16666666666666666
U87238,4,0.2222222222222222
U53084,2,0.1111111111111111
U19010,3,0.16666666666666666
U93010,1,0.05555555555555555
U68453,1,0.05555555555555555
U79787,9,0.5
U38334,4,0.2222222222222222
U55123,4,0.2222222222222222
U82949,1,0.05555555555555555
U85321,4,0.2222222222222222
U5692,2,0.1111111111111111
U76747,2,0.1111111111111111
U27835,1,0.05555555555555555
U16458,2,0.1111111111111111
U28660,1,0.05555555555555555
U47580,1,0.05555555555555555
U66651,3,0.16666666666666666
U89130,1,0.05555555555555555
U37286,4,0.2222222222222222
U28848,1,0.05555555555555555
U79782,2,0.1111111111111111
U47087,2,0.1111111111111111
U79180,1,0.05555555555555555
U52206,3,0.16666666666666666
U52203,6,0.3333333333333333
U56314,1,0.05555555555555555
U29095,1,0.05555555555555555
U29823,2,0.1111111111111111
U41014,2,0.1111111111111111
U54225,1,0.05555555555555555
U34611,3,0.16666666666666666
U62036,2,0.1111111111111111
U39619,1,0.05555555555555555
U42999,4,0.2222222222222222
U78473,2,0.1111111111111111
U26257,5,0.2777777777777778
U62345,1,0.05555555555555555
U85612,2,0.1111111111111111
U4365,2,0.1111111111111111
U53552,1,0.05555555555555555
U26662,1,0.05555555555555555
U51029,1,0.05555555555555555
U82827,1,0.05555555555555555
U68695,1,0.05555555555555555
U24539,1,0.05555555555555555
U70129,1,0.05555555555555555
U39212,1,0.05555555555555555
U30691,1,0.05555555555555555
U91136,1,0.05555555555555555
U23200,2,0.1111111111111111
U50425,2,0.1111111111111111
U26002,1,0.05555555555555555
U83529,3,0.16666666666666666
U69129,2,0.1111111111111111
U85391,2,0.1111111111111111
U75755,1,0.05555555555555555
U4610,4,0.2222222222222222
U56421,2,0.1111111111111111
U41186,1,0.05555555555555555
U63606,1,0.05555555555555555
U60443,2,0.1111111111111111
U25754,2,0.1111111111111111
U90996,2,0.1111111111111111
U60205,2,0.1111111111111111
U83939,1,0.05555555555555555
U42803,2,0.1111111111111111
U10514,2,0.1111111111111111
U49962,1,0.05555555555555555
U70433,1,0.05555555555555555
U25577,3,0.16666666666666666
U11830,1,0.05555555555555555
U77607,2,0.1111111111111111
U54154,1,0.05555555555555555
U1090,2,0.1111111111111111
U14769,2,0.1111111111111111
U49252,1,0.05555555555555555
U36132,2,0.1111111111111111
U37219,1,0.05555555555555555
U2387,4,0.2222222222222222
U72286,3,0.16666666666666666
U27721,2,0.1111111111111111
U64227,3,0.16666666666666666
U49280,1,0.05555555555555555
U12564,2,0.1111111111111111
U66627,1,0.05555555555555555
U53086,2,0.1111111111111111
U28964,1,0.05555555555555555
U44187,3,0.16666666666666666
U54629,6,0.3333333333333333
U29003,5,0.2777777777777778
U1075,2,0.1111111111111111
U63147,2,0.1111111111111111
U65904,1,0.05555555555555555
U35870,1,0.05555555555555555
U10516,3,0.16666666666666666
U92451,3,0.16666666666666666
U60860,1,0.05555555555555555
U83567,1,0.05555555555555555
U5622,3,0.16666666666666666
U87452,1,0.05555555555555555
U41799,2,0.1111111111111111
U24364,1,0.05555555555555555
U70123,2,0.1111111111111111
U70263,1,0.05555555555555555
